task_id,tripwire_id,parameterized,actionable,calibrated,notes
c1,tw_auth_token_http,1,1,1,Concrete auth endpoint and status codes; hint replans token acquisition before docs calls; global critical scope fits all workers.
c1,tw_auth_token_field,1,1,1,Concrete access_token field; hint updates all worker extraction logic; global critical scope fits shared auth schema drift.
c1,tw_docs_bearer_rejected,1,1,1,Concrete docs URL pattern and auth statuses; hint targets token scope and X-Worker-Id header; global critical scope fits docs access.
c1,tw_passage_pol_returns,1,1,1,Concrete passage id and status codes; hint updates s1 GET target before aggregation; local critical scope fits missing returns source.
c1,tw_passage_ops_warehouses,1,1,1,Concrete passage id and status codes; hint updates s2 GET target before aggregation; local critical scope fits missing warehouse source.
c1,tw_passage_ven_terms,1,1,1,Concrete passage id and status codes; hint updates s3 GET target before aggregation; local critical scope fits missing vendor source.
c1,tw_passage_content_field,1,1,1,Concrete content field and passage URL pattern; hint updates extraction in s1-s3; global warning scope is defensible for shared schema drift.
c1,tw_validate_http_error,1,1,1,Concrete validate endpoint and status codes; hint fixes title/body/citations in s4; local critical scope fits blocked validation.
c1,tw_validate_not_passed,1,1,1,Concrete passed=false regex; hint blocks packaging and replans s4 deficiencies; local critical scope fits failed gate.
c1,tw_validate_passed_field,1,1,1,Concrete passed field; hint updates s4 branch condition before packaging; warning local scope is defensible for schema drift.
c1,tw_package_conflict,1,1,1,Concrete package endpoint and error statuses; hint validates identical payload before retry; local critical scope fits packaging gate failure.
c1,tw_package_id_field,1,1,1,Concrete package_id field; hint remaps final output assembly; warning local scope is defensible for response schema drift.
d1,tw_auth_token,1,1,1,Concrete auth endpoint and status codes; hint retries before protected calls in s1-s3; global critical scope fits shared auth prerequisite.
d1,tw_auth_token_field,1,1,1,Concrete token field path; hint updates bearer-header extraction across s1-s3; global critical scope fits shared token extraction.
d1,tw_inventory_items_http,1,1,1,Concrete inventory endpoint and status codes; hint retries list before detail calls; local critical scope fits s1 enumeration.
d1,tw_sku_schema,1,1,1,Concrete warehouse field path and item endpoint pattern; hint remaps s1 body template; warning local scope is defensible for schema drift.
d1,tw_passage_ops_http,1,1,1,Concrete ops passage id and status codes; hint verifies id and auth in s2; local critical scope fits missing grounding passage.
d1,tw_passage_pricing_http,1,1,1,Concrete pricing passage id and status codes; hint verifies id and auth in s2; local critical scope fits missing grounding passage.
d1,tw_validate_schema,1,1,1,Concrete status field and validate endpoint; hint updates gate-check references; local critical scope fits blocked validation interpretation.
d1,tw_validate_checks_zero,1,1,0,Concrete checks_run zero regex and actionable hint; warning understates a required nonzero gate condition before packaging.
d1,tw_validate_not_passed,1,1,1,"Concrete non-passed status regex; hint fixes body length, SKU coverage, and citations; local critical scope fits failed gate."
d1,tw_package_order,1,1,1,Concrete validate-before-package order constraint; hint re-executes s3 before s4; local critical scope fits gated packaging.
d1,tw_package_conflict,1,1,1,Concrete package endpoint and 409 status; hint revalidates identical payload; local critical scope fits skipped or mismatched gate.
d1,tw_package_id_absent,1,1,1,Concrete package_id field; hint inspects response keys before s5 output; local critical scope fits missing required final identifier.
